category,source,dataset_scope,format,how_to_download,url,automation_notes,license_notes
Coding & Payment Standards,CPT (American Medical Association),CPT codes & descriptors,Licensed data files,License via AMA or authorized distributors,https://www.ama-assn.org/topics/cpt-royalties-licenses,Do NOT train on CPT text until license acquired,Proprietary; license required
Coding & Payment Standards,X12 HIPAA Transactions (837/835/276/277),EDI implementation guides (005010),Licensed PDFs/online viewer,Purchase via X12 (Glass); supplement with payer companion guides,https://x12.org/products,Do NOT train on spec text without license,Proprietary; license required
Appeals Decisions & Outcomes,HHS Departmental Appeals Board – Medicare Appeals Council,Significant decisions; issues/outcomes,HTML/PDF,Crawl decisions index; save HTML/PDF + metadata,https://www.hhs.gov/about/agencies/dab/decisions/council-decisions/index.html,"Capture docket, issue, outcome, dates",Public domain
Appeals Decisions & Outcomes,Provider Reimbursement Review Board (PRRB),PRRB decisions & jurisdictional rulings,HTML/PDF,Crawl PRRB decisions list,https://www.cms.gov/medicare/regulations-guidance/provider-reimbursement-review-board/list-prrb-decisions,Parse case metadata and outcomes,Public domain
Appeals Decisions & Outcomes,CourtListener / RECAP,Federal ERISA benefit denial cases; dockets & opinions,Bulk CSV/JSON; REST API,Use bulk data or REST API; filter §502(a)(1)(B),https://www.courtlistener.com/help/api/bulk-data/,Join with RECAP PDFs; store citations,Open data; see terms
Appeals Decisions & Outcomes,California DMHC – Independent Medical Review (IMR),IMR outcomes since 2001,CSV via State Open Data; HTML,Use data.chhs.ca.gov dataset/API,https://data.chhs.ca.gov/dataset/independent-medical-review-imr-determinations-trend,Use API endpoint; consider historical snapshots,State open data
Appeals Decisions & Outcomes,New York DFS – External Appeals,Searchable external appeal decisions,HTML; PDF,Scrape per decision; FOIL for bulk export,https://www.dfs.ny.gov/complaints/file_external_appeal,Respect robots.txt and rate limits,State content; check ToS
Appeals Decisions & Outcomes,Texas Department of Insurance – IRO Decisions,Independent Review Organization decisions,HTML/PDF,Scrape TDI IRO decisions pages,https://www.tdi.texas.gov/hmo/mcqa/iro_decisions.html,"Filter non-health-plan (e.g., workers' comp)",State content; check ToS
Price Transparency Datasets,Hospital Price Transparency (45 CFR Part 180),Machine-readable standard charge files per hospital,CSV/JSON,Discover MRF URLs via hospitals' required index; download & validate schema,https://www.cms.gov/priorities/key-initiatives/hospital-price-transparency/hospitals,Look for root TXT + CMS template JSON,Public info
Price Transparency Datasets,Transparency in Coverage (TiC) MRFs,In-network negotiated rates; OON allowed amounts (monthly),"JSON (very large, sharded)",Locate payer MRF index pages; stream & convert to Parquet,https://www.cms.gov/priorities/healthplan-price-transparency/overview/use-pricing-information-published-under-transparency-coverage-final-rule,Use distributed fetch; sample & downselect by service-codes,Public info
Payer Medical Policies,UnitedHealthcare Policy Library,Commercial & MA medical/drug policies,HTML/PDF,Scrape policy pages & PDFs; store policy IDs + revision dates,https://www.uhcprovider.com/en/policies-protocols.html,Capture archive links when available,Site ToS
Payer Medical Policies,Aetna Clinical Policy Bulletins (CPB),Coverage criteria across services,HTML/PDF,Crawl A–Z CPB index; fetch PDFs,https://www.aetna.com/health-care-professionals/clinical-policy-bulletins/medical-clinical-policy-bulletins.html,Store CPB number + last updated date,Site ToS
Payer Medical Policies,Cigna Coverage/Payment Policies,"Medical, behavioral, administrative policies",HTML/PDF,Crawl A–Z index pages; fetch PDFs,https://static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/index.html,Include reimbursement/pmt policies,Site ToS
Payer Medical Policies,Elevance/Anthem Clinical UM Guidelines,"CG-* series (e.g., CG-SURG-XX)",HTML/PDF,Fetch individual policy pages,https://www.anthem.com/provider/policies/clinical-guidelines/,Store code + revision history,Site ToS
No Surprises Act (NSA),Federal IDR Reports & Public Use Files,"Quarterly outcomes, selections, award amounts","CSV/XLSX, PDF",Download PUFs and reports; parse CSV,https://www.cms.gov/nosurprises/policies-and-resources/reports,Join on service codes; compute win rates,Public domain
